Sex 0078               10 12 14.87 -01 30 32.0 19.06  1.04  226.3  4.6  0.38 0.03  0.31 0.08 0.999 1
Sex 0079               10 13 39.93 -01 40 49.2 18.97  0.69  152.1  0.5  0.30 0.01  0.50 0.03 0.000 1
Sex 0080               10 13 30.14 -01 40 20.0 19.40  0.99  231.4  2.0  0.31 0.02  0.21 0.05 0.998 1
Sex 0081               10 13 29.78 -01 38 22.4 19.82 99.00  228.9  3.1  0.33 0.03  0.24 0.07 0.999 1
Sex 0082               10 13 26.42 -01 36 36.2 19.88  0.96  213.9  3.9  0.42 0.05  0.32 0.13 0.997 1
Sex 0083               10 13 27.54 -01 34  4.1 20.06  0.83  232.8  1.2  0.35 0.02  0.43 0.07 0.997 1
Sex 0084               10 13 34.81 -01 37 54.0 20.28  0.64  233.8  5.2  0.28 0.10  0.75 0.11 0.554 1
Sex 0085               10 13 43.08 -01 38  5.6 18.81  0.82  150.8  0.9  0.34 0.02  0.99 0.02 0.000 1
Sex 0086               10 13  9.94 -01 29 34.9 19.32  1.01  232.3  2.3  0.42 0.05  0.33 0.12 0.998 1
Sex 0087               10 13  6.68 -01 34 19.5 19.84  0.96  222.8  3.1  0.31 0.04  0.29 0.08 1.000 1
Sex 0088               10 13 15.64 -01 29 22.2 20.02  0.96  224.0  0.9  0.29 0.03  0.32 0.06 0.999 1
Sex 0089               10 12 54.01 -01 31 34.3 19.72 99.00  218.2  1.9  0.27 0.03  0.34 0.07 0.999 1
Sex 0090               10 13 40.21 -01 38 48.5 18.95  1.04  242.9  1.4  0.29 0.02  0.25 0.05 0.988 1
Sex 0091               10 13 36.90 -01 38 28.4 19.65  0.92   54.1  0.5  0.37 0.03  0.90 0.03 0.000 1
Sex 0092               10 13 23.72 -01 35 36.3 18.69  1.04  223.4  0.8  0.39 0.02  0.41 0.04 0.999 1
Sex 0093               10 13 22.07 -01 36 17.2 19.85  0.95  232.6  4.8  0.42 0.04  0.27 0.12 0.999 1
Sex 0094               10 13 27.48 -01 43 44.5  0.00  0.00 -115.0  5.7  0.07 0.12  0.23 0.16 0.000 0
Sex 0095               10 13 14.67 -01 33 40.9 20.01  0.96  231.1  4.8  0.44 0.04  0.14 0.12 0.999 1
Sex 0096               10 13 16.00 -01 34 39.7 19.35  0.99  218.5  1.1  0.32 0.04  0.33 0.08 0.999 1
Sex 0097               10 13 17.61 -01 30  7.3 20.39  0.73  221.0  2.3  0.31 0.03  0.36 0.06 0.999 1
Sex 0098               10 13 16.66 -01 32 41.4 19.95  0.94  219.1  0.5  0.38 0.02  0.33 0.06 0.999 1
Sex 0099               10 13 19.55 -01 34 31.7 19.88  0.96  231.6  5.0  0.33 0.04  0.40 0.09 0.998 1
